cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
cos,-50.0,0.642787609544643
cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
cos,-50.0,0.642787609544643
tg,-50.0,-1.1917535930425238
cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
cos,-50.0,0.642787609544643
cot,-50.0,-0.8390996308616274
cos,-50.0,0.642787609544643
sec,-50.0,1.5557238272038407
system,-50.0,0.5130932452975144
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
cos,-40.0,0.7660444428345752
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
cos,-40.0,0.7660444428345752
tg,-40.0,-0.8390996319312578
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
cos,-40.0,0.7660444428345752
cot,-40.0,-1.191753591523353
cos,-40.0,0.7660444428345752
sec,-40.0,1.3054072898169262
system,-40.0,0.8431813221477256
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
cos,-30.0,0.8660254032180265
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
cos,-30.0,0.8660254032180265
tg,-30.0,-0.5773502707000583
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
cos,-30.0,0.8660254032180265
cot,-30.0,-1.7320508030375799
cos,-30.0,0.8660254032180265
sec,-30.0,1.1547005391344678
system,-30.0,0.9829763903279873
cos,-20.0,0.9396926208563291
sin,-20.0,-0.3420201431321895
cos,-20.0,0.9396926208563291
cos,-20.0,0.9396926208563291
sin,-20.0,-0.3420201431321895
cos,-20.0,0.9396926208563291
tg,-20.0,-0.36397023403303
cos,-20.0,0.9396926208563291
sin,-20.0,-0.3420201431321895
cos,-20.0,0.9396926208563291
cot,-20.0,-2.747477421214754
cos,-20.0,0.9396926208563291
sec,-20.0,1.0641777723961625
system,-20.0,1.0179729024765078
cos,-10.0,0.9848077531544983
sin,-10.0,-0.1736481768599623
cos,-10.0,0.9848077531544983
cos,-10.0,0.9848077531544983
sin,-10.0,-0.1736481768599623
cos,-10.0,0.9848077531544983
tg,-10.0,-0.1763269798635715
cos,-10.0,0.9848077531544983
sin,-10.0,-0.1736481768599623
cos,-10.0,0.9848077531544983
cot,-10.0,-5.671281846792389
cos,-10.0,0.9848077531544983
sec,-10.0,1.0154266117390307
system,-10.0,1.0099936427107632
cos,0.0,0.9999999998722037
sin,0.0,-1.5987265499432336E-5
cos,0.0,0.9999999998722037
cos,0.0,0.9999999998722037
sin,0.0,-1.5987265499432336E-5
cos,0.0,0.9999999998722037
tg,0.0,-1.598726550147545E-5
cos,0.0,0.9999999998722037
sin,0.0,-1.5987265499432336E-5
cos,0.0,0.9999999998722037
cot,0.0,NaN
cos,0.0,0.9999999998722037
sec,0.0,1.0000000001277964
system,0.0,NaN
ln,10.0,2.3025850587467285
ln,10.0,2.3025850587467285
ln,2.0,0.6931471795482411
log2.0,10.0,3.3219280503275495
ln,10.0,2.3025850587467285
ln,3.0,1.0986122855642932
log3.0,10.0,2.0959032490375114
ln,10.0,2.3025850587467285
ln,5.0,1.6094379003676804
log5.0,10.0,1.430676547520533
ln,10.0,2.3025850587467285
ln,10.0,2.3025850587467285
log10.0,10.0,1.0
system,10.0,14.835744249021577
ln,20.0,2.995732205621859
ln,20.0,2.995732205621859
ln,2.0,0.6931471795482411
log2.0,20.0,4.321928003190215
ln,20.0,2.995732205621859
ln,3.0,1.0986122855642932
log3.0,20.0,2.7268329737302412
ln,20.0,2.995732205621859
ln,5.0,1.6094379003676804
log5.0,20.0,1.86135308789328
ln,20.0,2.995732205621859
ln,10.0,2.3025850587467285
log10.0,20.0,1.3010299855121976
system,20.0,104.17716471117902
ln,30.0,3.401197251556264
ln,30.0,3.401197251556264
ln,2.0,0.6931471795482411
log2.0,30.0,4.906890415067396
ln,30.0,3.401197251556264
ln,3.0,1.0986122855642932
log3.0,30.0,3.0959031646084925
ln,30.0,3.401197251556264
ln,5.0,1.6094379003676804
log5.0,30.0,2.1132826875639323
ln,30.0,3.401197251556264
ln,10.0,2.3025850587467285
log10.0,30.0,1.4771212201852373
system,30.0,372.34131540936323
ln,40.0,3.6888792924755034
ln,40.0,3.6888792924755034
ln,2.0,0.6931471795482411
log2.0,40.0,5.32192786946018
ln,40.0,3.6888792924755034
ln,3.0,1.0986122855642932
log3.0,40.0,3.3577626437890604
ln,40.0,3.6888792924755034
ln,5.0,1.6094379003676804
log5.0,40.0,2.2920295909725805
ln,40.0,3.6888792924755034
ln,10.0,2.3025850587467285
log10.0,40.0,1.6020599449573947
system,40.0,879.2462332298002
ln,50.0,3.9120227868817583
ln,50.0,3.9120227868817583
ln,2.0,0.6931471795482411
log2.0,50.0,5.643855882716598
ln,50.0,3.9120227868817583
ln,3.0,1.0986122855642932
log3.0,50.0,3.5608766061380606
ln,50.0,3.9120227868817583
ln,5.0,1.6094379003676804
log5.0,50.0,2.4306764405063697
ln,50.0,3.9120227868817583
ln,10.0,2.3025850587467285
log10.0,50.0,1.6989699346920235
system,50.0,1654.6129836121206
